Team,Region,Future use,Requieres realease?,Future containment,"In case of release, would the organism or parts spread autonomously?",Containment measures,Answer on question 16,Project goal
TU_Kaiserslautern,Europe,"Foundational,Only lab,In a factory",No,Fully Contained,NEI,None,"The project aims at providing an easy tool for protein production for therapeutic use. Therefore the L.tarentolae strains are not supposed to spread into the environment and will only be used in the laboratory. Additionally L.tarentolae needs very specific conditions in order to survive in the open environment, e.g. a suitable host organism, which would lead to its death.",Modular Cloning allows for quick assembly of a variety of genetic parts with the help of Type-IIS-restriction enzymes. Leishmania as an expression host will allow us to benefit from its favorable posttranslation modification patterns that closely resemble those of humans
UiOslo_Norway,Europe,"Small enclosed device,Cell-Free,Biosensor",Yes,NEI,No-no-organisms,None,There will be no live bacteria in the final product.,"detection mechanism for PFAS, specifically in skiwax, as a prevention on the use of PFAS containing ski waxes in skiing competitions. "
UMA_MALAGA,Europe,"Consumer product,Cell-Free",No,Fully Contained,NEI,None,"Our host organism is the producer of the pigment, but the biopainting, which is our final product, will not contain any biological organism or genetic part. ",Production of sustainable dyes
UNILausanne,Europe,"Agriculture,Cell-Free",Yes,NEI,No-no-organisms,None,"AFP and tailocins are proteins so they cannot spread autonomously in the environment. The engineered bacteria used to produce those proteins could enter the environment through laboratory accidents. This should nevertheless not happen if we are aware of safety rules and respect them.Phages infect bacteria and can spread themselves doing so. However, our project involve an engineered version of bacteriophage P1, which is neither able to reproduce inside a host nor to escape it, so we would exclude any outbreaks and spread of our engineered phage. In the worst case scenario, such as the one where our product would accidentally escape our lab, we could not predict all possible outcomes (without previous lab testing) such as an increased resistance from Pseudomonas syringae strains or an evolved broad-host range allowing it to infect other strains and thus spread more in the environment. However, as for AFPs and Tailocins, a such scenario would be avoided if we follow the right laboratory safety rules.",Anti-frosting component
UNIZAR,Europe,"Consumer product,Small enclosed device,Other,Cell-Free",No,Fully Contained,No-no-organisms,None,"The microorganisms used in this project will allow us to express the nanobody sequences. However, once these proteins have been isolated and purified, the microorganisms will be discarded following strict protocols to ensure that there is no environmental spread. Furthermore, if our purified nanobodies ended up in the environment, there would be no risk of expansion since they are not living parts capable of replicating.",Production of recombinant nanobodies?
UParis_BME,Europe,"Other,Cell-Free",No,NEI,No-no-organisms,None,"Our fully developped tool is composed of a microfluidic chip containing a lysis buffer for exosomes, a cell-free system and plasmids encoding for toehold switches. 
The toehold switches cannot be expressed as RNA if the cell-free system is not incubated at 37Ã‚Â°C. In addition, the cell-free system and the toehold switch plasmids are not in the same well so they are not in contact. Then, there is no risk. ",design toehold switches to detect and quantify micro-RNA.
UPF_Barcelona,Europe,Other,No,NEI,NEI,None,"Remarking that the spread of microorganisms could only happen in a lab accident, the idea would be to implement some sort of biocontainment method in order to avoid the autonomous spreading of the strain. Moreover, it is important to highlight that we work with non-pathological strains.",Highly specialized biosensors 
Uppsala,Europe,In a factory,No,Fully Contained,NEI,None,The E. coli strains we are using are both very safe and unable to grow outside a laboratory setting. They are also over-expressing an extra protein which would add an additional burden for the organisms and keep them from spreading outside a controlled setting.,produce an enhanced FGF-2 protein.
UZurich,Europe,"Consumer product,Agriculture",No,Fully Contained,NEI,None,No.,Use of vesicles to protect plants against pathogens
Vilnius-Lithuania,Europe,"Small enclosed device,Human body or food",Yes,NEI,No-contained,Killswitch,We chose to use the novel VapXD kill-switch to prevent environmental spread. We are planning to use probiotic bacteria which we are going to genetically modify. Those inserts are going to be flanked by recombinase recognition sites which will allow to reverse genetically modified bacteria into the native strain. ,naringenin synthesis for entamoeba detection
Wageningen_UR,Europe,Agriculture,Yes,Partially Contained,No-contained,Killswitch,"Safety is an integral aspect of our project that we are taking into account for the design of our microorganisms and biofilter. Our microorganisms should be present exclusively inside the biofilter. We will design our biofilter in such a way that the chance of genetically engineered microorganisms escaping the system is minimal. In addition, a safety circuit will be engineered in the monoculture, or methanotrophic organism in the co-culture, where high concentrations of methane repress the production of a toxin produced in the organism. Should the microorganism escape from the biofilter, it will find itself in an environment where the methane concentration is lower. In this case, the production of the toxin is no longer repressed, and toxin production will cause the death of the methanotroph. To prevent cell death during brief periods of low methane (such as when the cows are allowed to graze outside during summer), a quorum sensing-based safety circuit will also be incorporated to act as a time-delay. In this safety circuit, bacteria produce N-acyl homoserine lactones (AHL) that also repress toxin production, but also rapidly diffuses outside the cells. Inside the biofilter in high cell density conditions, AHL concentrations will be high enough to repress the toxin adequately. However, should the cell escape the biofilter, it will find itself in a low-cell density environment where the AHL concentration is low as well. As a result, toxin production will no longer be repressed, and the cell will be killed. Finally, in the co-culture, the ammoniatroph will be made fully dependent on the methanotroph by establishing amino-acid auxotrophy between the two organisms. Thus, should either or both organisms escape, death of one organism will also result in the death of the other organism. The combination of this three-part safety system, in addition to the careful design of the biofilter itself, will minimize the chance of our engineered organism(s) escaping and spreading through the environment. ","biofilter that convert the environmentally harmful ammonia and methane emissions from cattle stalls to nitrogen gas and carbon dioxide, respectively. "
Warwick,Europe,"Small enclosed device,Biosensor,Cell-Free",Yes,Partially Contained,No-no-organisms,None,"Our finished device would not include any live organisms. As such, no biocontainment strategies have been conceptualised.",system used to detect the presence of live carbapenemase-producing Enterobacteriaceae (CPE) on surfaces in hospitals. 
Bolivia,Latin America,"Consumer product,Biosensor",No,Fully Contained,Yes-possible,Physical containment,"As mentioned above, the strains will not be released into the environment, and the risk of contact will be low since all biosafety standards will be followed and the strains will be previously treated, and all the material sterilized. For containment and handling the team will take physical biocontainment strategies so the bacteria will never come into contact with the environment. The strains could prevail in the environment, but their large-scale spread is not of great importance as they are low-risk strains according to WHO classification.",Arsenic biosensor.
Ecuador,Latin America,Natural environment,Yes,Open release ,No-contained,Killswitch,"The organisms and parts with which we have worked in our project have a small chance to disperse in the environment, after their application in the soil. To limit the spread of the modified bacteria and the risk of horizontal transfer, we have developed a programmed cell death system. Our system consists on the implementation of a kill switch, based on the lux operon, which responds to quorum sensing signals. In this way, when the bacterial population increases over a threshold, the system is activated and lysis begins to be induced in the bacteria. This allows the generation of an oscillatory system that limits the expansion of the bacteria. ",Improve generation of duble stranded RNA (dsRNA) to trigger gene silencing in fungi.
FCB-UANL,Latin America,In a factory,Yes,Partially Contained,No-contained,Killswitch,"No, because we are developing a biocontainment strategy based on CRISPR/Cas9 that will ensure that the organisms will not have the capacity to survive in the environment.",Production of synbio-based firefighting foam.
FDR-HB_Peru,Latin America,"In a factory,Small enclosed device,Agriculture,Cell-Free,Biosensor",No,Fully Contained,No-no-organisms,None,"With cadmium detection, it would be a cell-free system, so there is no risk of spreading organisms to the environment.  There is some risk of accidentally releasing rhizobacterium or yeast into the environment, however, this stage of the project will likely not be performed in a lab prior to the competition.  When we do the labs, the experiments on soil and cacao liquor will be contained within the lab and properly sterilized prior to disposal.",Detection and bioremediation of cadmium in cacao farm soil or cacao liquor. 
RUM-UPRM,Latin America,"Small enclosed device,Natural environment",Yes,Open release ,No-contained,Killswitch,"If not handled properly, our engineered organism can spread autonomously in the environment. However, we have designed a killswitch that will keep the bacteria under control in environments containing RDX, leading to induced cellular death once it detects RDX's byproducts (formaldehyde and nitrite) after finalizing the biodegradation process.","Detection and degradation of 1,3,5-trinitro-1,3,5-triazine (RDX)."
Tec-Monterrey,Latin America,"Agriculture,Natural environment,Cell-Free",No,Partially Contained,No-no-organisms,None,"No, because we are using a cell free system, which does not spread in the environment.",Detection of Fusarium oxysporum.
TecCEM,Latin America,"In a factory,Consumer product,Small enclosed device,Natural environment,Biosensor",No,Ambiguous,Ambiguous,None,We don't think it is a possibility.,"Modified bacteria to obtain the protein hER (human endocrine receptor), to capture endocrine disruptive compounds (EDCs) found in bottled water, and be able then to quantify them."
TEC_COSTA_RICA,Latin America,"Foundational,In a factory,Consumer product,Agriculture,Natural environment,Human body or food,Other",Yes,Open release ,No-contained,Killswitch,"Yes. Since our desired application is engineered organism liberation they would be spread, malfunctions would cause this to be harmful in different ways depending on application. Nonetheless, this is why we're specifically developing an early stage of a suicide circuit that would prevent this kind of issues if implemented correctly.",Modified organism supposed to express recombinases and fluorescent proteins in a cyclical manner until it eventually dies by expressing toxins (NucA1 and RelE) and a self-targetting CRISPR-Cas9 system. This could serve biorremediation and therapeutic applications.
UNESP_Brazil,Latin America,Small enclosed device,No,Fully Contained,Yes-possible,None,"Yes, we haven't thought of any kill-switch yet.",Production of RNA aptamers. Data storage.
UNILA_LatAm,Latin America,Natural environment,Yes,Open release ,No-contained,Killswitch,"The genetically modified bacteria, Bacillus subtilis, could be released into the environment through the insect's natural excretion processes (since the bacteria are part of the animal's intestinal microbiota) or after its death. To prevent the bacteria from surviving in the environment, we design a killswitch that will trigger death and DNA degradation mechanisms in the presence of light when the bacteria leaves its host.","Elimination of a pathogenic organism that causes visceral leishmaniasis. Detection, elimination and killswitch."
USP-Brazil,Latin America,Agriculture,Yes,Open release ,Yes-possible,None," Yes. Given that our team is engineering the reproductive cell of a plant, there's a risk of it spreading to the environment if not properly secured.",detoxification of pollen in crops treated with imidacloprid neonicotinoid pesticide. 
USP-EEL-Brazil,Latin America,"Human body or food,Cell-Free",Yes,Fully Contained,No-no-organisms,None,No. The protein will only have contact with the environment through human manipulation..,produce the inhibitor of the phospholipase A2 protein (gammaPLI) a snake venom inhibitor
Alma,North America,"Only lab,Small enclosed device,Biosensor",No,Partially Contained,Yes-possible,None,"We do not have a kill switch or a biocontainment method built into our circuit, as it is not intended to be used outside a controlled laboratory setting as a sensor. It is in our plans to add on a killswitch before implementation, but will be done so following the full assembly of our main biobrick and proof of concept. ",Biosensor to detect DDT and its derivatives.
ASU,North America,"In a factory,Consumer product,Agriculture",No,NEI,Yes-possible,Reduced survivality,"If introduced into the environment accidentally, Chlamydomonas would be able to spread autonomously. Since we are using a rescue gene psbH, our strain of Chlamydomonas will be able to photosynthesize after it has been successfully transformed. This means it would be able to flourish in a water source with sufficient nutrients and sunlight, causing an algal bloom. However, the CC-5168 strain is cell wall deficient: it would most likely not grow very successfully and pose minimal risk. Our proposed filter and solution would utilize this to its benefit: allowing the filter to grow would renew itself under only specific conditions. However, the filter device will maintain those conditions carefully, as Chlamydomonas can easily be killed with bleach, antibiotics, or high temperature. Treating a potential (accidental) algal bloom would not be difficult. 
",Genetically modified algae to bioremediate arsenic contamination.
Austin_UTexas,North America,Natural environment,Yes,Open release ,Yes-possible,Reduced survivality,"Our recombinant P1 phage has the potential to spread autonomously, but the severe evolutionary disadvantage that our constructs of interest impart on them make uncontrollable reproduction highly unlikely. In addition, the phagemid that we are engineering is distinct from P1's replication DNA and not required for the phage to survive. This suggests that our phagemid is likely to die out after several phage lysis cycles, leaving only wild type P1 phages which already exist in the ocean environment.",P1vir (bacteriophage) released to infect cyanobacteria and make them able to degradate oil and some oil-derivatives.
Baltimore_BioCrew,North America,"Consumer product,Human body or food",Yes,Open release ,NEI,None,No,Easy access probiotic.
British_Columbia,North America,"Human body or food,Biosensor",No,Open release ,Yes-possible,Reduced survivality,"As our project currently stands, there would exist a risk of our engineered organisms leaving the body (e.g. through the digestive tract) and spreading automously in the environment. Again, the risk of potential infection remains low because of the attenuation of the bacteria, but it exists nonetheless. Further along the project (though not necessarily within iGEMs timeframe), it would be ideal to have a kill-switch in the engineered circuit to prevent the possibility of septicemia, and by extension, the unexpected escape of our engineered organism into the environment.",Detection of tumors suitable for inmunotherapy.
Calgary,North America,"Only lab,In a factory,Small enclosed device",No,Fully Contained,NEI,None,"The risk of our engineered E.coli K12-derived strains (Risk Group 1) entering the environment is very low, as they will be contained in a bioreactor that will be used in the lab. In the event that these engineered strains do enter the environment, they would be incapable of spreading autonomously to any significant extent. They are also not known to cause any harm to microorganisms, plants, or healthy adult humans. Similarly, our Gluconobacter oxydans strain B-58* and Acidithiobacillus thiooxidans strain B-S2* are both non-pathogenic, they will not be genetically modified and will only be used in closed, controlled experimental protocols.",Recovering REEs from e-waste
CCA_San_Diego,North America,"Foundational,Human body or food",No,Fully Contained,No-unable,Reduced survivality,"Our strain of yeast lacks functional pathways for essential amino acids including histidine and leucine, making it unlikely to survive outside the lab. ",Bacterial collagen production
CHS_Missouri_US,North America,"Digital or non-biological products ,Only lab",No,Fully Contained,NEI,None,"As we are extracting microbial samples from potable water sources to analyze in the lab, and not releasing any engineered organism as a result, there is no risk of autonomic spread.",Microbial identification system for tap and bottled water samples
Concordia-Montreal,North America,"Only lab,Human body or food,Other",Yes,NEI,NEI,None,"Due to a laboratory accident, our organisms may escape the laboratory. There is no intention to release the organisms.",Micorgravity tolerant S. cerevisiae for astronauts food
Cornell,North America,"In a factory,Small enclosed device,Human body or food",No,Fully Contained,No-unable,Auxotrophy,"No; the use of our organism is used for protein production purposes. Our project does not involve releasing our organism in any capacity into the wild. Although it may occur accidentally, the additional metabolic strain to which our organism is subject will ensure it becomes outcompeted and dies in the outside environment.",Collagen production
CTR_Alberta_Canada,North America,"Only lab,Consumer product,Agriculture,Small enclosed device,Natural environment",No,Fully Contained,NEI,None,"Our strains are low risk and naturally found in the environment. As lab strains they will not be able to survive long outside their petri dish/test tube. In the event that they survived in the environment, they would have little no impact as these strains are naturally found on our body and in the environment. ",Detect and measure levels of oxybenzone 
DNHS_SanDiego_CA,North America,Small enclosed device,Yes,Partially Contained,NEI,Physical containment,"Though we are developing our project theoretically, if it was fully developed, the E. coli bacteria that will be used in our device could potentially accidentally be spilled into the environment. This is very unlikely, however, because our device will be tightly locked and thoroughly tested in a lab before being introduced to the real world, which, as the iGEM Do Not Release policy suggests, is beyond the scope of the competition, particularly for our team. ",Detection method for a full set of VOCs (Volatile Organic Compounds) in lung cancer.
Duke,North America,"Foundational,Only lab,Small enclosed device",No,Fully Contained,NEI,None,"We do not plan to intentionally release our engineered organisms into the environment. Additionally, there is minimal likelihood that our glioma cells and human embryonic kidney cells will spread autonomously if the cells were to accidentally escape into the environment, so our project does not currently contain any biocontainment strategies beyond biosafety cabinet and proper sterilization and disposal protocols. However, we plan to test if our cells are able to survive and spread in the environment without maintenance and determine if biocontainment strategies such as kill switches are necessary.","scalable, accurate model for testing glioblastoma drug response."
FSU,North America,"In a factory,Consumer product,Human body or food",No,Fully Contained,Yes-possible,None,Yes.  It is possible that the Chitin Secretion Cells could survive in the environment with unknown consequences.,extending the shelf life of fresh produce with a system called ChiFresh
Gaston_Day_School,North America,Only lab,No,Fully Contained,NEI,None,"Using bacteriophage to detect pathogens would probably remain a laboratory-based technique, so environmental release would be unlikely. In the event of accidental release, the primary risk would be horizontal gene transfer from bacteriophage to other bacteria. This risk is anticipated to be extremely low because of the specificity of bacteriophages. Bacteriophages will be engineered to carry only a green fluorescent protein expression system, not antibiotic resistance genes. ",demonstrate the feasibility of using bacteriophages to detect the presence of specific bacterial strains
GA_State_SW_Jiaotong,North America,Consumer product,Yes,Partially Contained,No-contained,Killswitch,"We will do all the experiments in a professional laboratory under the supervision of experienced instructors. For the gene-edited organisms or parts in experiments, they will finally be processed with an autoclave for sterilization. For the engineered bacteria in our final product, a suicide switch activated by room temperature or aromatic compound would ensure no bacteria existing in the environment. Also, bacteria living on the head will also commit suicide after they produce a certain amount of target proteins. Therefore, no engineered organism would spread into the environment from our project.",Gas6 and EGF for the reactivation of hair follicle cells.
Guelph,North America,"In a factory,Consumer product,Agriculture,Natural environment,Human body or food",Yes,NEI,NEI,None,"Probably. There are no genetic biocontainment strategies present within our project. However, we take our physical precautions in order to contain our organisms well. All engineered microorganisms are to be contained in the Biosafety level 2 space and modified plants remain within the phytotron and bio chambers for the growth of the plants. Genetically modified plants are not able to enter the environment easily as outside access is restricted. Lastly, in order to mitigate the spread of GMOs in the environment, we are performing very strict biocontainment procedures such as a 24-hour rule of not being on a farm after exposure to GM crops or with Agrobacterium. We also strongly suggest to our members to shower after any sort of lab work with those organisms as well.",CRISPR system(CRISPRi and CRISPRa)to up-regulate stress response genes ICE2 (cold-resistance) and CLE18 (Root length) in plants to make them more resilient to climate change.
Hopkins,North America,Natural environment,Yes,Open release ,Yes-possible,Killswitch,"There is a potential for the physical escape, survival, or horizontal gene transfer from or with our engineered bacteria. We intend to prevent this with genetic circuits to ensure physical containment, temporal containment, and prevent horizontal gene transfer.",engineered to to prevent aspergilliosis (Aspergillus sydowii infection) of corals by producing specific antifungals.
Lambert_GA,North America,"Small enclosed device,Biosensor",Yes,Partially Contained,NEI,None,"With the ultimate goal of distributing our biosensors to small, urban hydroponics farmers, Lambert iGEM plans to minimize the risks of releasing cells to the public by developing cell-free extracts and lyophilized (freeze-dried) cells. 
Due to the use of a native signaling pathway in E. coli cells, the phosphate biosensor will be lyophilized with our frugal lyophilizer LyphoX and accompanied with appropriate UV light tools. Additionally, the nitrate/nitrite biosensor and plant pathogen toehold switches will be developed as cell-free extracts in order to prevent the spread of cells into the environment. ","AgroSENSE makes hydroponics, a compact sustainable form of agriculture, more accessible and easy-to-use for small, urban communities struggling with food insecurity."
Lethbridge,North America,"Natural environment,Cell-Free",Yes,NEI,No-no-organisms,None,"The micro-compartments we plan to create cannot self-replicate and do not contain DNA, so they should not be able to spread autonomously in the environment.", combat bloom-forming cyanobacteria
Lethbridge_HS,North America,Natural environment,Yes,Open release ,NEI,None,No,"siRNA against spotted knapweed, an invasive plant species."
Lubbock_TTU,North America,"Only lab,Small enclosed device,Biosensor",Yes,Partially Contained,No-contained,Killswitch,"Should we continue to work with this project following the competition, a kill switch would be incorporated into the biosensor that would lower the risk of our bacteria spreading in the environment. We decided on a kill switch since our biosensor would be encased in an enclosed device if used in the field in which the conditions can be controlled. Therefore, when the bacteria no longer senses the specific input from the enclosed device, the kill switch will activate. Additionally, rather than developing new kill switch designs, we intend to implement designs developed by past iGEM teams.",Detection of pathogenic fungal strains
McMaster,North America,"Human body or food,Biosensor",No,NEI,Yes-possible,None,"The engineered organisms could potentially spread to the environment through patients' excrement. However, both vectors used in this project, including lactobacilli or E. coli Nissle 1917, are considered very safe and should not cause major safety concerns.","Detection of the inflammation marker nitric oxide, and a pathogen-specific quorum sensing factor called autoinducer-3. "
MiamiU_OH,North America,"Agriculture,Human body or food",No,NEI,No-unable,None,"We do not expect autonomous spread to be a major concern. Domesticated crop plants usually do not invade into the surrounding environment because they cannot survive without additional human support (e.g. weeding, watering, fertilization, etc). Additionally, crop plants can be hybridized beyond the ability to create fertile offspring.",Demonstrate the influence of overexpressing key Calvin-Benson cycle enzymes on biomass in Synechococcus elongatus PCC 7942.
Michigan,North America,"Foundational,Only lab,Human body or food",No,Fully Contained,NEI,None,BL21 E. coli containing the transformed plasmids could accidentally contaminate the surrounding environment. ,Drug delivery platform using protein nanocompartments
MichiganState,North America,"Foundational,In a factory,Consumer product,Agriculture,Small enclosed device,Natural environment,Human body or food",Yes,Fully Contained,No-contained,Killswitch,"The primary purpose of our project is to prevent unwanted transfer of parts into the environment, and while mutation and failure of our system is always possible, we hope to greatly reduce the incidence of transfer for all parts. We are using a toxin-antitoxin system that can be developed as an environment-specific kill switch using various promoters (the GhoST toxin-antitoxin), optional DAP auxotrophy to prevent physical spread, an artifical CRISPR immunity system to prevent the uptake of conjguative machinery, and the utilization of the non-native T7 promoter system to prevent transcription in unintended recipient cells. ",Toxin-antitoxin adaptable biocontainment platform in E. coli with a focus on horizontal gene transfer prevention of synthetic parts. 
Mines,North America,"Human body or food,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"None of the proposed parts impart any environmental advantage to the organisms, and all use cases involve the extraction of proteins so the end user is never in contact with modified organisms.",Turn blood into O type by using enzymes.
Missouri_Miners,North America,"In a factory,Small enclosed device,Biosensor",Yes,Partially Contained,NEI,None,"Our strain of E. coli is naturally present in the environment. The parts inputted into the microbe are well characterized and only create a fluorescent response based on Autoinducer-II concentration. Because the insert plasmid is of detriment to keep within their chromosome, mainly due to energy conserving pulls, even if the transformed strain were to spread they would quickly lose the inserted ability due to lack of antibiotic environmental pressures. ","biosensor for the detection of Auto-Inducer II, a signaling molecule often present in pathogenic bacteria"
MIT,North America,Human body or food,Yes,Open release ,No-contained,Killswitch,"Our engineered organisms and parts could spread to the environment through the gut, but this is unlikely as our organism would have reduced fitness due to constitutive expression of many large protein complexes. In the future, we may look into different kill switches and auxotrophy, potentially de-activating natural BCAA synthesis pathways with the recombinase. ",treatment of Maple Syrup Urine Disease
NDSU,North America,Agriculture,Yes,Open release ,No-contained,Killswitch,"There is potential for unintentional spread as we have no containment measures set up at the moment. Our lab and culture growth environment does not allow for direct, deliberate entry into a field environment. Further development of this project would incorporate a genetic kill switch. The fungal pathogens we are using are already found in low concentrations in many fields and agricultural settings. We are also not modifying the fungus, meaning it wouldn't be a naturally occurring fungal infection. The engineered E. coli wouldn't be very likely to spread, since the presence of antifungal genes wouldn't make it inherently more suitable for its environment. The strain of S. rhizobium being used isn't suited to the environment of our area, so if it entered the environment here it wouldn't spread",Treatment of different fungal plants pathogens. 
Northern_BC,North America,"Only lab,Small enclosed device,Biosensor",No,NEI,Yes-possible,None,"There is a possible, but highly unlikely, risk of contamination from an accidental release.",Vitamin D biosensor.
NYC_B1O,North America,"Human body or food,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"No, the end point of the development of this project would involve non-replicating viral vectors or nanoparticles",Production of human wild-type alpha-synuclein fusion proteins.
NYU_New_York,North America,"Consumer product,Biosensor",Yes,Partially Contained,NEI,None,"No, if our project were fully developed any of our engineered organisms or parts could not spread autonomously in the environment.",Detection of Influenza A by using a toehold switch.
OhioState,North America,Human body or food,Yes,NEI,Yes-possible,None,"Yes, our phage could possibly continue to replicate and infect e.coli strains outside of the source of sepsis for a patient. This could possibly mitigated by engineering the phage to not be able to make more of itself by mutating certain keys genes that are involved in the lytic cycle. ",Inhibit the toxicity of Lipid A 
 Open_Science_Global,North America,"Foundational,Only lab,In a factory",No,Fully Contained,No-contained,Auxotrophy,We will be using auxotrophy with Pichia-based plasmids and positive selection strategies for B. subtilis plasmids. Due to energy conservation microbes tend to cure themselves of any plasmid if selection is not maintained. We believe the risk of autonomous spread of our recombinant organisms will be very low. These laboratory strains are well understood and the primary approach to eliminating environmental exposure is through good laboratory practice.,frugal methods of enzyme/protein manufacturing and purification
Pittsburgh,North America,"Consumer product,Human body or food",Yes,NEI,No-contained,Killswitch,"As the development of our detection method progresses, a kill switch in the bacteria needs to be formulated such that the bacteria are do not survive in the colon following detection and that bacteria which have exited the body are killed to avoid contamination. The lysis circuit developed to produce the reporter based color change in the stool satisfies the kill switch for the bacteria which have exited the body as it kills the cell while releasing the small molecule reporter contents in the cell. ",Biosensor for colon cancer
Purdue,North America,Small enclosed device,Yes,Partially Contained,Yes-possible,None,"E. coli with genetically engineered plasmid, once released into the environment, could spread autonomously.",COVID-19 testing system.
Queens_Canada,North America,"Only lab,Consumer product,Agriculture,Biosensor,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"Our testing device does not contain any full cells or viral particles, therefore, there is no risk of and cells replicating or any viruses spreading. Our test only contains a few target proteins, as well as our bioreceptor. Thus, our testing device does not pose any risk to a spread of within the environment. ",Biosensor for Lyme disease.
RHS-Calgary,North America,"Consumer product,Small enclosed device",Yes,Partially Contained,NEI,None,"No, E. coli don't produce spores and they won't be handled outside of the lab. In addition, they will be properly disposed of according to regulations. There will not be any living organism in our final product. ",Detection of glycosuria in felines.
Rochester,North America,In a factory,No,Fully Contained,NEI,Physical containment,"It is unlikely that our organism would spread in the environment if safe laboratory practices are employed. 

Once graphene oxide is reduced by our organism, the organism has to be completely removed to proceed to the next stage of our project. This involves a series of wash steps along with freeze drying which should kill bacteria. We could also look into the addition of an antibiotic such as chloramphenicol in addition to the previously mentioned steps to kill our organism. MR-1 is also susceptible to death by UVC, and this could potentially be used as a sterilization technique. We would have to investigate how this affects the quality of the reduced graphene oxide. ",detect biomarkers in sweat-like solutions by detecting changes in electrical properties of reduced graphene oxide upon binding of biomarkers to aptamers.
 SDSU,North America,Agriculture,Yes,NEI,No-unable,None,Our organism is a strict anaerobe so risks involved with the introduction of the engineered C. cellulovorans are minimal due to the strict living conditions of the organism. ,Clostridium cellulovorans with an optimized PETase.
Stanford,North America,"Consumer product,Human body or food",Yes,NEI,No-unable,None,"No, our strain of baker's yeast requires several enough growing conditions that it would not be able to propagate autonomously outside of a laboratory environment.",Production of an enzyme that will compete with the human enzyme CYP3A4.
Stony_Brook,North America,Natural environment,Yes,Partially Contained,No-contained,Physical containment,We would likely implement a sterilizing system (such as UV) or membrane with sufficiently small pore size to prevent escape of our genetically modified organism into the water that we are filtering. This would make it extremely unlikely that our engineered organisms would make it outside the environment of the filter.,"degrade and detect microcystin-LR (MC-LR), a toxin produced by cyanobacteria during algal blooms."
SUNY_Oneonta,North America,"Agriculture,Small enclosed device,Cell-Free",Yes,Partially Contained,No-no-organisms,None,"No, our system only involves a recombinant protein and synthetic DNA oligos, which are likely to degrade in the environment.",Identification of SNPs for local farmers to identifiy genetic markers.
Toronto,North America,"Only lab,In a factory,Consumer product,Small enclosed device,Natural environment",No,Fully Contained,No-contained,"Killswitch,Auxotrophy","Ecoli K-12 MG1655 has a low chance of spreading autonomously in the environment primarily due to it being a lab strain of bacteria. Nonetheless, there are some risks of autonomous spread especially if the organism can use the breakdown product of EG as a carbon source. Currently, we have not engineered a mechanism by which EG and TPA can be imported by our bacterium nor metabolized. We have not yet implemented biocontainment strategies such as auxotrophy and kill switches, though secreted PET hydrolases need basic environments for their enzymes to function optimally. ",PETase
UCDavis,North America,"Only lab,Human body or food",Yes,NEI,NEI,None,no,modulate the rapid translation of mRNA based vaccines
UChicago,North America,"Digital or non-biological products ,Natural environment",No,Fully Contained,No-no-organisms,None,Our project is in silico and does not involve organisms or parts. ,Degradation of antibiotics system
UCSC,North America,"Agriculture,Small enclosed device",Yes,NEI,No-contained,Unable,"For UCSC's Progenie project:The base-level mcherry-targeting plasmid pMINT has no method of spread. It is purely mechanistic.The phagemid-level mcherry-targeting plasmid phiMINT has the F1 ori which allows it to be packaged into M13KO7 virions. This is a method of initial distribution, but it is a contained one: since the helper phage plasmid is completely separate from the phagemid, the newly infected cell receives no helper phage plasmid. This means that the infected cell cannot produce more infectious viral particles, and so cannot spread autonomously as a standard virus does. There is no spread after the initial infection dosage.The mobilizable-level mcherry-targeting plasmid phiMINTO has an Ori T which allows it to be spread through bacterial conjugation. Any conjugative donor cells (ie, DH5a F') that hold phiMINTO could pass it on to any conjugative recipient cells (ie, normal DH5a). However, this plasmid does not contain the necessary parts to confer conjugative ability; the transconjugant bacterium cannot further spread the plasmid. Thus, after the initial bout of conjugation, the breadth of the plasmid's reach will stagnate.---For UCSC's collaboration with IISER-K's Namooste project:The only part of our collaboration that would intentionally leave the lab is the Csm6 protein, which cannot replicate on its own given that it is just a protein.",system to detect and rid infections of Shiga toxin-producing E. coli (STEC) that cause food-borne illness and food recalls.
UFlorida,North America,"Agriculture,Human body or food",No,Fully Contained,NEI,None,"The component of our project regarding alternative selectable markers might propagate bacteria that will contain new metabolic genes that we are giving them in the lab. This will not harm the environment, as it would only give bacteria more ability to metabolize different sugars. This method was chosen because it is safer than relying on antibiotic resistance genes. ",Alternatives for antibiotic markers. As well as a antibiotic resistance gene targeting system.
 UIUC_Illinois,North America,In a factory,No,Fully Contained,NEI,None,No,PETase enhancement
ULaval,North America,"Only lab,In a factory,Cell-Free",No,Fully Contained,No-no-organisms,None,The enzyme will be purified from the bacteria before industrial usage. Only the enzyme will be added to maple syrup. The bacteria will not be released in the environment.,"Elimination of ""bad-maple"" molecules ."
